Source,Target,weight
7417,7408,120.0
7417,7411,120.0
7417,7415,240.0
7417,7416,40.0
7418,7358,120.0
7418,7362,128.0
7418,7367,120.0
7418,7369,120.0
7418,7406,120.0
7418,7408,248.0
7418,7410,360.0
7418,7411,120.0
7418,7412,124.0
7418,7415,160.0
7418,7417,480.0
7419,7180,500.0
7419,7256,200.0
7419,7264,270.0
7419,7280,270.0
7419,7292,270.0
7419,7300,135.0
7419,7315,150.0
7419,7351,124.0
7419,7355,137.0
7419,7357,124.0
7419,7360,124.0
7419,7361,124.0
7419,7362,124.0
7419,7363,137.0
7419,7382,137.0
7419,7384,160.0
7419,7403,124.0
7419,7404,137.0
7419,7409,240.0
7419,7417,120.0
7419,7418,259.0
7420,7350,240.0
7420,7356,240.0
7420,7358,360.0
7420,7362,120.0
7420,7418,120.0
7421,7180,200.0
7421,7198,430.0
7421,7215,430.0
7421,7227,430.0
7421,7256,2232.0
7421,7264,2456.0
7421,7280,1440.0
7421,7289,248.0
7421,7292,2471.5
7421,7300,108.0
7421,7323,832.0
7421,7328,360.0
7421,7337,1046.0
7421,7343,150.0
7421,7351,438.0
7421,7358,639.4
7421,7360,596.0
7421,7361,137.0
7421,7362,409.0
7421,7363,632.0
7421,7367,611.0
7421,7368,611.0
7421,7369,372.0
7421,7384,683.3333
7421,7404,496.0
7421,7408,914.0
7421,8639,313.0
7422,7355,124.0
7422,7418,124.0
7424,7418,120.0
7425,7362,128.0
7425,7404,120.0
7425,7415,120.0
7425,7418,128.0
7425,7421,372.0
7426,7411,120.0
7427,7404,40.0
7427,7406,120.0
7427,7407,40.0
7427,7408,120.0
7427,7412,244.0
7427,7419,124.0
7427,7420,120.0
7427,7423,40.0
7428,7351,240.0
7428,7362,120.0
7428,7403,137.0
7428,7404,120.0
7428,7406,40.0
7428,7410,120.0
7428,7411,137.0
7428,7415,120.0
7428,7418,124.0
7428,7419,137.0
7428,7421,453.0
7428,7427,40.0
7428,7642,200.0
7430,7351,120.0
7430,7355,160.0
7430,7404,120.0
7430,7417,120.0
7430,7418,120.0
7432,7431,120.0
7434,7358,108.0
